Domain Code,Domain,Item Code,Item,Description
EI,Agri-Environmental Indicators: Emissions intensities,1718,Cereals excluding rice,
EI,Agri-Environmental Indicators: Emissions intensities,1062,"Eggs, hen, in shell",Weight in shell.
EI,Agri-Environmental Indicators: Emissions intensities,947,"Meat, buffalo","Fresh, chilled or frozen, with bone in or boneless."
EI,Agri-Environmental Indicators: Emissions intensities,867,"Meat, cattle","Meat of bovine animals, fresh, chilled or frozen, with bone in. Commontrade names are beef and veal."
EI,Agri-Environmental Indicators: Emissions intensities,1058,"Meat, chicken","Fresh, chilled or frozen. May include all types of poultry meat ifnational statistics do not report separate data."
EI,Agri-Environmental Indicators: Emissions intensities,1017,"Meat, goat","Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless."
EI,Agri-Environmental Indicators: Emissions intensities,1035,"Meat, pig","Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen."
EI,Agri-Environmental Indicators: Emissions intensities,977,"Meat, sheep","Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless."
EI,Agri-Environmental Indicators: Emissions intensities,951,"Milk, whole fresh buffalo",See 882 and derived products.
EI,Agri-Environmental Indicators: Emissions intensities,1130,"Milk, whole fresh camel",See 882.
EI,Agri-Environmental Indicators: Emissions intensities,882,"Milk, whole fresh cow","Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized."
EI,Agri-Environmental Indicators: Emissions intensities,1020,"Milk, whole fresh goat",See 882 and derived products.
EI,Agri-Environmental Indicators: Emissions intensities,982,"Milk, whole fresh sheep",See 882 and derived products.
EI,Agri-Environmental Indicators: Emissions intensities,27,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
EM,Agri-Environmental Indicators: Emissions shares,6822,Agricultural land use,
EM,Agri-Environmental Indicators: Emissions shares,6986,Agriculture and related land use,
EM,Agri-Environmental Indicators: Emissions shares,1711,Agriculture total,
EM,Agri-Environmental Indicators: Emissions shares,6821,Energy,
EM,Agri-Environmental Indicators: Emissions shares,6817,Industrial processes and product use,
EM,Agri-Environmental Indicators: Emissions shares,6820,International Bunkers,
EM,Agri-Environmental Indicators: Emissions shares,6819,Other n.e.c.,
EM,Agri-Environmental Indicators: Emissions shares,6825,Total emissions with agricultural land use,
EM,Agri-Environmental Indicators: Emissions shares,6829,Total emissions without land use,
EM,Agri-Environmental Indicators: Emissions shares,6818,Waste,
EF,Agri-Environmental Indicators: Fertilizers indicators,3102,Nutrient nitrogen N (total),Total nitrogen (N) from all fertilizer products
EF,Agri-Environmental Indicators: Fertilizers indicators,3103,Nutrient phosphate P2O5 (total),Total phosphate (P2O5) from all fertilizer products
EF,Agri-Environmental Indicators: Fertilizers indicators,3104,Nutrient potash K2O (total),Total potash (K2O) from all fertilizer products
